Vpanel:12.84	Apanel:1.31	Watt:16.76	Vbatt:12.06	Abatt:0.68	outpwm:1135   	MPTT:1   	Count:5   	StA:5.00

Vpanel:12.82	Apanel:1.34	Watt:17.22	Vbatt:12.05	Abatt:0.70	outpwm:1130   	MPTT:-1   	Count:5   	StA:-5.00

Vpanel:12.85	Apanel:1.30	Watt:16.75	Vbatt:12.07	Abatt:0.66	outpwm:1135   	MPTT:1   	Count:5   	StA:5.00

Vpanel:12.83	Apanel:1.34	Watt:17.17	Vbatt:12.06	Abatt:0.69	outpwm:1140   	MPTT:3   	Count:5   	StA:5.00

Vpanel:12.81	Apanel:1.38	Watt:17.66	Vbatt:12.05	Abatt:0.75	outpwm:1145   	MPTT:1   	Count:5   	StA:5.00

Vpanel:12.79	Apanel:1.45	Watt:18.50	Vbatt:12.03	Abatt:0.78	outpwm:1150   	MPTT:1   	Count:5   	StA:5.00

Vpanel:12.75	Apanel:1.49	Watt:19.04	Vbatt:12.01	Abatt:0.84	outpwm:1155   	MPTT:3   	Count:5   	StA:5.00

Vpanel:12.72	Apanel:1.53	Watt:19.45	Vbatt:12.00	Abatt:0.88	outpwm:1150   	MPTT:-1   	Count:5   	StA:-5.00

Vpanel:12.75	Apanel:1.49	Watt:18.97	Vbatt:12.01	Abatt:0.82	outpwm:1155   	MPTT:1   	Count:5   	StA:5.00

Vpanel:12.73	Apanel:1.55	Watt:19.71	Vbatt:11.99	Abatt:0.86	outpwm:1160   	MPTT:1   	Count:5   	StA:5.00

Vpanel:12.69	Apanel:1.58	Watt:20.11	Vbatt:11.98	Abatt:0.89	outpwm:1155   	MPTT:-1   	Count:5   	StA:-5.00

Vpanel:12.73	Apanel:1.52	Watt:19.30	Vbatt:12.01	Abatt:0.83	outpwm:1160   	MPTT:1   	Count:5   	StA:5.00

Vpanel:12.70	Apanel:1.58	Watt:20.06	Vbatt:11.99	Abatt:0.91	outpwm:1155   	MPTT:-1   	Count:5   	StA:-5.00

Vpanel:12.74	Apanel:1.52	Watt:19.35	Vbatt:12.00	Abatt:0.88	outpwm:1150   	MPTT:-1   	Count:5   	StA:-5.00

Vpanel:12.78	Apanel:1.44	Watt:18.44	Vbatt:12.02	Abatt:0.79	outpwm:1145   	MPTT:-1   	Count:5   	StA:-5.00

Vpanel:12.81	Apanel:1.37	Watt:17.58	Vbatt:12.04	Abatt:0.71	outpwm:1140   	MPTT:-3   	Count:5   	StA:-5.00

Vpanel:12.84	Apanel:1.30	Watt:16.75	Vbatt:12.07	Abatt:0.67	outpwm:1135   	MPTT:-1   	Count:5   	StA:-5.00

Vpanel:12.88	Apanel:1.24	Watt:16.00	Vbatt:12.08	Abatt:0.58	outpwm:1130   	MPTT:-3   	Count:5   	StA:-5.00

Vpanel:12.92	Apanel:1.19	Watt:15.33	Vbatt:12.10	Abatt:0.52	outpwm:1125   	MPTT:-3   	Count:5   	StA:-5.00

Vpanel:12.95	Apanel:1.11	Watt:14.37	Vbatt:12.11	Abatt:0.47	outpwm:1120   	MPTT:-1   	Count:5   	StA:-5.00

Vpanel:12.99	Apanel:1.04	Watt:13.45	Vbatt:12.13	Abatt:0.39	outpwm:1115   	MPTT:-3   	Count:5   	StA:-5.00

Vpanel:13.01	Apanel:1.02	Watt:13.26	Vbatt:12.15	Abatt:0.35	outpwm:1120   	MPTT:1   	Count:5   	StA:5.00

Vpanel:12.99	Apanel:1.04	Watt:13.57	Vbatt:12.13	Abatt:0.40	outpwm:1125   	MPTT:3   	Count:5   	StA:5.00

Vpanel:12.95	Apanel:1.12	Watt:14.47	Vbatt:12.12	Abatt:0.46	outpwm:1120   	MPTT:-1   	Count:5   	StA:-5.00

